Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","UNSPECIFIED","1,679.63","116,727.14","118,406.78","-115,047.51"
"2.","U S A","61,851.58","31,458.13","93,309.71","30,393.44"
"3.","CHINA P RP","25,232.97","31,892.31","57,125.28","-6,659.34"
"4.","U ARAB EMTS","33,015.12","20,853.17","53,868.29","12,161.95"
"5.","U K","16,539.71","16,023.45","32,563.16","516.26"
"6.","BELGIUM","11,276.48","20,618.65","31,895.14","-9,342.17"
"7.","GERMANY","12,698.75","18,041.56","30,740.32","-5,342.81"
"8.","SINGAPORE","17,975.35","11,913.12","29,888.47","6,062.23"
"9.","SWITZERLAND","2,430.28","26,688.98","29,119.26","-24,258.70"
"10.","HONG KONG","16,587.90","7,773.74","24,361.64","8,814.16"
"11.","JAPAN","9,561.02","14,535.93","24,096.95","-4,974.91"
"12.","KOREA RP","4,680.44","15,765.42","20,445.85","-11,084.98"
"13.","AUSTRALIA","3,236.17","17,184.18","20,420.35","-13,948.01"
"14.","INDONESIA","5,987.57","11,761.90","17,749.47","-5,774.33"
"15.","ITALY","10,271.29","6,169.55","16,440.84","4,101.74"
"16.","FRANCE","7,552.72","8,510.47","16,063.19","-957.75"
"17.","MALAYSIA","4,870.85","10,329.79","15,200.64","-5,458.95"
"18.","SOUTH AFRICA","4,421.42","9,874.44","14,295.86","-5,453.02"
"19.","SAUDI ARAB","6,344.60","5,846.27","12,190.87","498.34"
"20.","NETHERLAND","7,210.89","3,556.14","10,767.02","3,654.75"
"21.","ISRAEL","4,519.02","4,439.73","8,958.75","79.30"
"22.","RUSSIA","2,836.36","5,943.29","8,779.65","-3,106.92"
"23.","SRI LANKA DSR","6,349.65","1,700.19","8,049.84","4,649.46"
"24.","SPAIN","6,242.63","1,750.29","7,992.93","4,492.34"
"25.","THAILAND","4,050.08","3,890.51","7,940.59","159.57"
"26.","TAIWAN","2,779.07","4,906.85","7,685.92","-2,127.78"
"27.","BANGLADESH PR","7,328.88","266.77","7,595.64","7,062.11"
"28.","CANADA","3,894.68","3,485.43","7,380.11","409.24"
"29.","IRAN","5,532.83","1,843.14","7,375.96","3,689.69"
"30.","BRAZIL","3,047.12","3,560.36","6,607.48","-513.24"
"31.","SWEDEN","1,086.44","4,211.57","5,298.00","-3,125.13"
"32.","NEPAL","3,339.04","1,553.86","4,892.90","1,785.18"
"33.","QATAR","940.95","3,023.24","3,964.19","-2,082.28"
"34.","TURKEY","3,251.68","606.22","3,857.90","2,645.47"
"35.","UKRAINE","933.36","2,420.31","3,353.67","-1,486.95"
"36.","KUWAIT","1,893.57","1,374.65","3,268.22","518.92"
"37.","ARGENTINA","837.15","2,424.48","3,261.63","-1,587.33"
"38.","NIGERIA","2,896.63","217.46","3,114.09","2,679.17"
"39.","VIETNAM SOC REP","2,498.01","388.65","2,886.66","2,109.35"
"40.","PAKISTAN IR","2,341.18","426.74","2,767.91","1,914.44"
"41.","PHILIPPINES","1,852.20","841.99","2,694.19","1,010.20"
"42.","EGYPT A RP","1,998.24","685.85","2,684.10","1,312.39"
"43.","DENMARK","1,373.74","1,214.14","2,587.88","159.60"
"44.","FINLAND","644.96","1,746.99","2,391.95","-1,102.04"
"45.","MYANMAR","508.60","1,823.83","2,332.43","-1,315.23"
"46.","JORDAN","576.23","1,599.06","2,175.28","-1,022.83"
"47.","MOROCCO","505.40","1,627.26","2,132.66","-1,121.86"
"48.","KENYA","1,916.94","209.94","2,126.88","1,707.00"
"49.","CHILE","499.66","1,552.70","2,052.36","-1,053.04"
"50.","MEXICO","1,656.06","371.24","2,027.31","1,284.82"
"51.","IRELAND","952.50","822.90","1,775.40","129.60"
"52.","AUSTRIA","526.35","1,178.74","1,705.09","-652.38"
"53.","COLOMBIA","1,485.91","63.65","1,549.56","1,422.25"
"54.","SUDAN","1,426.34","102.80","1,529.14","1,323.54"
"55.","NORWAY","466.43","1,056.27","1,522.70","-589.84"
"56.","GREECE","1,376.42","107.01","1,483.44","1,269.41"
"57.","TOGO","1,183.38","206.82","1,390.20","976.55"
"58.","TANZANIA REP","781.27","591.53","1,372.80","189.74"
"59.","OMAN","1,202.69","92.60","1,295.29","1,110.09"
"60.","BAHARAIN IS","703.02","547.58","1,250.60","155.43"
"61.","YEMEN REPUBLC","1,107.17","138.48","1,245.65","968.69"
"62.","ROMANIA","476.09","756.84","1,232.93","-280.76"
"63.","POLAND","792.12","406.03","1,198.15","386.10"
"64.","MAURITIUS","1,160.13","32.28","1,192.41","1,127.84"
"65.","CZECH REPUBLIC","395.38","787.82","1,183.20","-392.44"
"66.","COTE D' IVOIRE","453.93","719.29","1,173.22","-265.36"
"67.","SYRIA","1,137.59","17.15","1,154.74","1,120.44"
"68.","SENEGAL","311.11","814.14","1,125.25","-503.03"
"69.","PORTUGAL","1,002.74","85.12","1,087.86","917.62"
"70.","ALGERIA","1,038.90","28.37","1,067.26","1,010.53"
"71.","GHANA","822.62","230.39","1,053.01","592.24"
"72.","NEW ZEALAND","418.87","574.94","993.80","-156.07"
"73.","AFGHANISTAN TIS","743.33","211.20","954.54","532.13"
"74.","LIBYA","779.71","61.12","840.83","718.58"
"75.","TUNISIA","334.55","426.58","761.13","-92.03"
"76.","BHUTAN","380.04","319.03","699.07","61.01"
"77.","PANAMA REPUBLIC","251.40","408.30","659.70","-156.91"
"78.","HUNGARY","485.69","141.66","627.35","344.03"
"79.","KOREA DP RP","556.75","41.92","598.67","514.83"
"80.","IRAQ","589.45","5.03","594.48","584.41"
"81.","DJIBOUTI","577.93","14.00","591.93","563.93"
"82.","BENIN","211.74","358.49","570.23","-146.76"
"83.","MOZAMBIQUE","365.31","186.74","552.05","178.57"
"84.","CONGO P REP","419.02","98.73","517.75","320.29"
"85.","PAPUA N GNA","64.16","427.73","491.90","-363.57"
"86.","PERU","309.22","163.32","472.54","145.90"
"87.","KAZAKHSTAN","365.82","69.15","434.97","296.67"
"88.","LEBANON","303.12","91.95","395.06","211.17"
"89.","SLOVENIA","284.72","96.37","381.10","188.35"
"90.","UGANDA","341.38","29.67","371.05","311.71"
"91.","GUINEA","230.57","123.99","354.55","106.58"
"92.","VENEZUELA","323.38","18.06","341.44","305.32"
"93.","ANGOLA","327.52","4.08","331.59","323.44"
"94.","ZAMBIA","226.47","103.18","329.65","123.29"
"95.","GUINEA BISSAU","4.17","318.41","322.58","-314.24"
"96.","MALTA","141.52","165.61","307.13","-24.10"
"97.","ETHIOPIA","249.39","46.10","295.49","203.30"
"98.","MALAWI","261.76","22.83","284.59","238.93"
"99.","LIBERIA","82.24","202.27","284.52","-120.03"
"100.","SOMALIA","211.66","33.57","245.23","178.09"
"101.","GABON","46.53","192.32","238.85","-145.79"
"102.","UZBEKISTAN","95.91","141.36","237.27","-45.45"
"103.","COSTA RICA","74.03","159.35","233.38","-85.32"
"104.","BAHAMAS","24.93","203.98","228.90","-179.05"
"105.","ZIMBABWE","105.38","121.97","227.35","-16.59"
"106.","KYRGHYZSTAN","222.72","2.81","225.53","219.91"
"107.","LITHUANIA","137.47","79.25","216.72","58.23"
"108.","MALDIVES","213.94","2.75","216.69","211.19"
"109.","SLOVAK REP","107.19","102.86","210.05","4.33"
"110.","ECUADOR","102.06","103.07","205.13","-1.01"
"111.","MADAGASCAR","162.31","35.80","198.12","126.51"
"112.","TRINIDAD","129.95","62.68","192.64","67.27"
"113.","BULGARIA","111.24","80.68","191.92","30.57"
"114.","GEORGIA","120.39","69.26","189.66","51.13"
"115.","NIGER","181.04","3.25","184.28","177.79"
"116.","GUATEMALA","170.00","4.77","174.77","165.23"
"117.","AZERBAIJAN","138.36","34.65","173.01","103.72"
"118.","CAMEROON","119.96","52.63","172.58","67.33"
"119.","MALI","97.46","58.74","156.21","38.72"
"120.","CYPRUS","131.99","21.71","153.70","110.28"
"121.","BURKINA FASO","94.81","37.92","132.73","56.88"
"122.","FIJI IS","128.44","1.35","129.79","127.09"
"123.","URUGUAY","110.12","18.20","128.32","91.92"
"124.","GAMBIA","66.92","51.76","118.67","15.16"
