Rank,Country,Export,Import,Total Trade,Trade Balance
"1.","U S A","52,406.27","35,549.48","87,955.76","16,856.79"
"2.","CHINA P RP","16,752.20","70,319.64","87,071.84","-53,567.43"
"3.","U ARAB EMTS","30,126.73","29,785.33","59,912.05","341.40"
"4.","SAUDI ARAB","5,561.72","28,479.21","34,040.93","-22,917.49"
"5.","HONG KONG","13,001.99","17,987.01","30,988.99","-4,985.02"
"6.","SINGAPORE","11,572.27","16,281.64","27,853.91","-4,709.38"
"7.","IRAQ","1,788.66","22,372.47","24,161.14","-20,583.81"
"8.","GERMANY","8,902.43","15,161.08","24,063.51","-6,258.65"
"9.","KOREA RP","4,705.07","16,758.97","21,464.04","-12,053.90"
"10.","INDONESIA","5,275.60","15,849.67","21,125.27","-10,574.07"
"11.","SWITZERLAND","1,186.69","18,087.58","19,274.27","-16,900.90"
"12.","JAPAN","4,861.73","12,772.67","17,634.40","-7,910.94"
"13.","MALAYSIA","6,436.30","10,818.60","17,254.90","-4,382.31"
"14.","BELGIUM","6,729.93","10,469.22","17,199.15","-3,739.30"
"15.","IRAN","3,511.01","13,525.64","17,036.65","-10,014.63"
"16.","U K","9,309.29","7,561.93","16,871.22","1,747.35"
"17.","AUSTRALIA","3,520.44","13,131.21","16,651.65","-9,610.77"
"18.","NIGERIA","3,005.21","10,884.71","13,889.92","-7,879.50"
"19.","VIETNAM SOC REP","6,507.38","7,192.23","13,699.61","-684.86"
"20.","NETHERLAND","8,812.84","4,062.80","12,875.64","4,750.04"
"21.","QATAR","1,611.16","10,721.70","12,332.86","-9,110.54"
"22.","FRANCE","5,232.57","6,665.67","11,898.24","-1,433.10"
"23.","THAILAND","4,441.40","7,441.81","11,883.21","-3,000.42"
"24.","ITALY","5,593.42","5,292.38","10,885.80","301.04"
"25.","SOUTH AFRICA","4,067.20","6,517.33","10,584.54","-2,450.13"
"26.","BANGLADESH PR","9,210.06","1,044.80","10,254.86","8,165.26"
"27.","MEXICO","3,841.57","5,577.03","9,418.59","-1,735.46"
"28.","KUWAIT","1,333.92","7,430.82","8,764.74","-6,096.90"
"29.","NEPAL","7,766.20","508.14","8,274.34","7,258.06"
"30.","RUSSIA","2,389.47","5,840.44","8,229.91","-3,450.98"
"31.","BRAZIL","3,800.49","4,406.43","8,206.92","-605.94"
"32.","TURKEY","5,452.45","2,388.26","7,840.71","3,064.19"
"33.","VENEZUELA","164.77","7,258.95","7,423.72","-7,094.18"
"34.","TAIWAN","2,607.21","4,577.25","7,184.46","-1,970.04"
"35.","CANADA","2,851.42","3,515.41","6,366.83","-664.00"
"36.","SRI LANKA DSR","4,710.21","1,488.40","6,198.60","3,221.81"
"37.","SPAIN","4,182.49","1,680.50","5,862.99","2,501.99"
"38.","ISRAEL","3,717.98","1,931.58","5,649.56","1,786.40"
"39.","OMAN","2,246.31","2,759.00","5,005.30","-512.69"
"40.","EGYPT A RP","2,886.39","1,677.82","4,564.22","1,208.57"
"41.","GHANA","717.33","3,763.41","4,480.74","-3,046.08"
"42.","ANGOLA","282.36","4,027.49","4,309.86","-3,745.13"
"43.","PERU","721.03","2,405.40","3,126.42","-1,684.37"
"44.","UNSPECIFIED","2,907.22","89.74","2,996.96","2,817.48"
"45.","UKRAINE","390.80","2,341.03","2,731.82","-1,950.23"
"46.","ALGERIA","940.27","1,696.96","2,637.22","-756.69"
"47.","TANZANIA REP","1,704.04","903.47","2,607.51","800.58"
"48.","PAKISTAN IR","2,066.56","494.87","2,561.44","1,571.69"
"49.","ARGENTINA","562.93","1,954.99","2,517.92","-1,392.06"
"50.","POLAND","1,572.80","793.39","2,366.19","779.41"
"51.","PHILIPPINES","1,743.64","581.10","2,324.74","1,162.53"
"52.","CHILE","989.80","1,237.55","2,227.35","-247.75"
